marital_status;hours_per_week;age;education;income
Married-civ-spouse;40;32;11th;>50K
Never-married;50;27;Bachelors;<=50K
Married-civ-spouse;65;46;Masters;>50K
Married-civ-spouse;40;54;Masters;>50K
Never-married;40;28;9th;<=50K
Married-civ-spouse;37;36;Assoc-voc;<=50K
Never-married;40;30;HS-grad;<=50K
Never-married;50;29;Bachelors;<=50K
Married-civ-spouse;40;52;Assoc-voc;<=50K
Married-civ-spouse;50;23;HS-grad;<=50K
Never-married;50;23;Bachelors;<=50K
Divorced;40;60;HS-grad;>50K
Never-married;40;25;HS-grad;<=50K
Married-civ-spouse;20;61;HS-grad;<=50K
Married-civ-spouse;40;27;Bachelors;>50K
Never-married;40;27;HS-grad;<=50K
Married-civ-spouse;40;41;HS-grad;<=50K
Divorced;40;52;HS-grad;<=50K
Married-civ-spouse;40;39;Bachelors;<=50K
Never-married;40;24;Bachelors;<=50K
Divorced;40;36;Assoc-voc;<=50K
Married-civ-spouse;50;41;Bachelors;>50K
Never-married;40;34;HS-grad;<=50K
Married-civ-spouse;60;39;Assoc-voc;<=50K
Married-civ-spouse;50;54;Doctorate;>50K
Married-spouse-absent;40;48;7th-8th;<=50K
Never-married;33;18;HS-grad;<=50K
Married-civ-spouse;50;59;Masters;>50K
Never-married;38;40;Some-college;<=50K
Married-civ-spouse;30;53;Some-college;<=50K
Married-civ-spouse;40;27;Some-college;<=50K
Married-civ-spouse;40;57;Masters;>50K
Never-married;40;22;Some-college;<=50K
Never-married;40;29;Bachelors;<=50K
Never-married;25;18;HS-grad;<=50K
Never-married;25;17;10th;<=50K
Never-married;40;39;HS-grad;<=50K
Married-civ-spouse;35;42;HS-grad;>50K
Never-married;40;25;7th-8th;<=50K
Never-married;40;31;HS-grad;<=50K
Widowed;20;68;10th;<=50K
Never-married;40;25;Bachelors;<=50K
Divorced;24;61;Bachelors;<=50K
Married-civ-spouse;40;21;Assoc-voc;<=50K
Never-married;60;48;Some-college;>50K
Never-married;40;26;HS-grad;<=50K
Separated;32;38;HS-grad;<=50K
Never-married;40;24;Bachelors;<=50K
Married-civ-spouse;50;40;HS-grad;<=50K
Never-married;35;18;12th;<=50K
Married-civ-spouse;40;35;Some-college;>50K
Married-civ-spouse;40;35;HS-grad;<=50K
Separated;30;53;HS-grad;<=50K
Married-civ-spouse;43;59;Some-college;>50K
Married-civ-spouse;60;41;HS-grad;<=50K
Never-married;20;19;Some-college;<=50K
Never-married;24;19;10th;<=50K
Married-civ-spouse;40;35;Bachelors;<=50K
Separated;50;42;Some-college;>50K
Married-civ-spouse;40;52;HS-grad;>50K
Married-civ-spouse;43;50;Bachelors;>50K
Married-civ-spouse;40;49;Masters;>50K
Never-married;25;28;Bachelors;<=50K
Married-civ-spouse;40;44;Assoc-voc;>50K
Married-civ-spouse;50;44;Bachelors;>50K
Married-civ-spouse;40;37;HS-grad;<=50K
Widowed;3;66;Assoc-acdm;<=50K
Divorced;40;50;HS-grad;<=50K
Separated;40;39;HS-grad;<=50K
Never-married;50;24;Bachelors;<=50K
Married-civ-spouse;40;72;Doctorate;<=50K
Married-civ-spouse;40;53;Prof-school;>50K
Separated;35;33;HS-grad;<=50K
Divorced;20;28;HS-grad;<=50K
Widowed;38;62;HS-grad;<=50K
Divorced;40;52;Some-college;<=50K
Married-civ-spouse;40;31;7th-8th;<=50K
Married-civ-spouse;50;34;Some-college;>50K
Never-married;50;40;Bachelors;<=50K
Married-civ-spouse;40;27;HS-grad;>50K
Married-civ-spouse;65;29;Some-college;<=50K
Married-civ-spouse;40;33;HS-grad;<=50K
Married-civ-spouse;40;46;Preschool;<=50K
Married-civ-spouse;60;41;Some-college;>50K
Never-married;30;20;Some-college;<=50K
Never-married;20;19;Some-college;<=50K
Married-civ-spouse;40;30;Bachelors;<=50K
Married-civ-spouse;4;65;Masters;<=50K
Never-married;40;51;HS-grad;<=50K
Never-married;55;48;Bachelors;>50K
Married-civ-spouse;36;61;HS-grad;<=50K
Married-civ-spouse;40;40;5th-6th;<=50K
Never-married;45;31;Bachelors;>50K
Married-civ-spouse;40;38;HS-grad;<=50K
Married-civ-spouse;40;57;Bachelors;<=50K
Married-civ-spouse;40;50;HS-grad;<=50K
Divorced;40;62;Some-college;<=50K
Divorced;40;48;Assoc-acdm;>50K
Never-married;40;39;Masters;<=50K
Divorced;40;39;HS-grad;<=50K
Divorced;37;59;10th;<=50K
Married-civ-spouse;40;27;Bachelors;<=50K
Married-civ-spouse;55;34;Masters;>50K
Married-civ-spouse;38;43;Some-college;>50K
Married-spouse-absent;40;21;HS-grad;<=50K
Married-civ-spouse;48;64;Assoc-voc;<=50K
Divorced;35;53;HS-grad;<=50K
Married-civ-spouse;40;90;Bachelors;>50K
Never-married;45;30;HS-grad;<=50K
Never-married;24;23;Some-college;<=50K
Never-married;30;41;Doctorate;<=50K
Married-civ-spouse;15;40;HS-grad;<=50K
Never-married;40;19;Some-college;<=50K
Married-civ-spouse;40;58;Some-college;>50K
Never-married;50;25;Bachelors;>50K
Never-married;40;34;5th-6th;<=50K
Separated;40;47;HS-grad;<=50K
Never-married;50;24;Bachelors;<=50K
Married-civ-spouse;50;50;Bachelors;>50K
Married-spouse-absent;35;19;7th-8th;<=50K
Divorced;12;44;Bachelors;<=50K
Divorced;40;47;HS-grad;<=50K
Never-married;40;27;9th;<=50K
Married-civ-spouse;32;60;HS-grad;<=50K
Widowed;37;54;HS-grad;<=50K
Married-civ-spouse;55;49;Bachelors;>50K
Never-married;5;17;10th;<=50K
Married-civ-spouse;56;27;Some-college;<=50K
Never-married;40;36;Masters;<=50K
Married-civ-spouse;50;47;HS-grad;>50K
Never-married;40;23;Bachelors;<=50K
Married-civ-spouse;30;69;HS-grad;<=50K
Never-married;40;33;HS-grad;>50K
Married-civ-spouse;34;53;10th;<=50K
Married-civ-spouse;40;55;HS-grad;<=50K
Married-civ-spouse;40;66;HS-grad;>50K
Married-civ-spouse;50;32;HS-grad;<=50K
Never-married;25;18;Some-college;<=50K
Widowed;28;53;Bachelors;<=50K
Separated;55;40;Assoc-acdm;<=50K
Never-married;40;29;Masters;<=50K
Never-married;38;51;Assoc-acdm;<=50K
Separated;40;35;Some-college;<=50K
Divorced;40;40;Some-college;<=50K
Never-married;40;18;10th;<=50K
Never-married;50;32;Bachelors;<=50K
Married-civ-spouse;14;59;Some-college;>50K
Never-married;40;29;Assoc-voc;<=50K
Married-civ-spouse;40;58;5th-6th;<=50K
Married-spouse-absent;40;17;10th;<=50K
Married-civ-spouse;43;28;1st-4th;<=50K
Married-civ-spouse;40;33;Assoc-voc;>50K
Married-civ-spouse;55;47;HS-grad;>50K
Never-married;50;24;HS-grad;<=50K
Married-civ-spouse;60;40;Masters;>50K
Divorced;40;44;Some-college;<=50K
Married-civ-spouse;42;62;9th;<=50K
Divorced;38;40;HS-grad;<=50K
Married-civ-spouse;37;51;Bachelors;>50K
Married-civ-spouse;7;79;HS-grad;<=50K
Married-civ-spouse;50;44;Bachelors;>50K
Never-married;40;33;Assoc-voc;<=50K
Never-married;43;58;Doctorate;>50K
Married-civ-spouse;40;62;10th;<=50K
Divorced;30;36;HS-grad;<=50K
Married-civ-spouse;50;46;Some-college;>50K
Never-married;64;24;Some-college;<=50K
Married-civ-spouse;20;22;Bachelors;<=50K
Married-spouse-absent;35;30;Bachelors;<=50K
Never-married;26;33;Some-college;<=50K
Married-civ-spouse;50;39;HS-grad;<=50K
Married-civ-spouse;40;39;Some-college;>50K
Married-civ-spouse;50;46;Bachelors;>50K
Married-civ-spouse;52;53;HS-grad;>50K
Separated;40;32;9th;<=50K
Never-married;40;33;Assoc-acdm;<=50K
Never-married;40;40;11th;<=50K
Never-married;8;17;9th;<=50K
Married-civ-spouse;40;34;Some-college;<=50K
Never-married;40;22;Some-college;<=50K
Never-married;40;23;HS-grad;<=50K
Married-civ-spouse;40;50;HS-grad;>50K
Divorced;40;45;Assoc-acdm;<=50K
Never-married;40;33;HS-grad;<=50K
Never-married;40;52;7th-8th;<=50K
Never-married;40;23;Bachelors;<=50K
Married-civ-spouse;50;56;Bachelors;>50K
Never-married;55;29;Masters;<=50K
Divorced;25;47;Assoc-voc;<=50K
Married-civ-spouse;50;44;Some-college;>50K
Never-married;30;38;HS-grad;<=50K
Married-civ-spouse;40;34;HS-grad;<=50K
Never-married;25;18;11th;<=50K
Married-civ-spouse;40;56;Masters;>50K
Never-married;12;23;Bachelors;<=50K
Never-married;23;18;11th;<=50K
Divorced;50;37;Some-college;<=50K
Married-civ-spouse;40;50;Bachelors;<=50K
Married-civ-spouse;50;40;Some-college;<=50K
Married-civ-spouse;40;33;7th-8th;<=50K
Married-civ-spouse;40;53;HS-grad;<=50K
Married-civ-spouse;40;35;HS-grad;<=50K
Married-civ-spouse;40;54;HS-grad;<=50K
Married-civ-spouse;45;45;HS-grad;<=50K
Divorced;35;44;Bachelors;<=50K
Never-married;20;22;HS-grad;<=50K
Married-civ-spouse;20;50;HS-grad;<=50K
Married-civ-spouse;40;40;Prof-school;>50K
Never-married;45;30;Masters;<=50K
Married-civ-spouse;40;37;HS-grad;>50K
Married-civ-spouse;15;33;Bachelors;<=50K
Married-civ-spouse;40;38;9th;<=50K
Never-married;8;23;HS-grad;<=50K
Never-married;30;22;HS-grad;<=50K
Divorced;40;30;11th;<=50K
Never-married;60;26;Bachelors;<=50K
Divorced;40;54;Bachelors;>50K
Married-civ-spouse;40;38;9th;<=50K
Married-civ-spouse;45;30;Some-college;<=50K
Divorced;40;44;Some-college;<=50K
Never-married;15;17;11th;<=50K
Divorced;40;36;HS-grad;<=50K
Married-civ-spouse;12;74;HS-grad;<=50K
Married-civ-spouse;10;81;7th-8th;<=50K
Married-civ-spouse;48;24;Assoc-acdm;<=50K
Married-civ-spouse;38;34;Some-college;<=50K
Married-civ-spouse;40;39;9th;<=50K
Married-civ-spouse;55;45;Bachelors;<=50K
Married-civ-spouse;50;64;10th;>50K
Divorced;30;30;Assoc-voc;<=50K
Married-civ-spouse;52;39;Bachelors;<=50K
Never-married;40;25;Some-college;<=50K
Married-civ-spouse;60;39;Some-college;<=50K
Married-civ-spouse;50;36;Some-college;>50K
Divorced;40;34;Some-college;<=50K
Married-civ-spouse;70;64;7th-8th;<=50K
Married-civ-spouse;40;26;Bachelors;>50K
Never-married;50;25;Bachelors;<=50K
Never-married;15;20;Some-college;<=50K
Married-AF-spouse;40;34;Some-college;>50K
Never-married;30;18;12th;<=50K
Divorced;55;49;HS-grad;<=50K
Divorced;40;32;HS-grad;<=50K
Married-civ-spouse;25;73;7th-8th;<=50K
Never-married;30;20;Some-college;<=50K
Married-civ-spouse;40;35;HS-grad;<=50K
Married-civ-spouse;60;55;HS-grad;<=50K
Divorced;40;49;9th;<=50K
Married-civ-spouse;40;48;Masters;>50K
Divorced;40;53;1st-4th;<=50K
Married-civ-spouse;36;57;Prof-school;<=50K
Never-married;20;17;11th;<=50K
Divorced;40;37;HS-grad;<=50K
Divorced;35;33;HS-grad;<=50K
Never-married;35;67;HS-grad;<=50K
Married-civ-spouse;43;41;Some-college;<=50K
Married-civ-spouse;45;37;Assoc-acdm;<=50K
Married-civ-spouse;20;33;HS-grad;<=50K
Divorced;40;39;Masters;<=50K
Never-married;10;21;Some-college;<=50K
Married-civ-spouse;40;35;Bachelors;<=50K
Never-married;40;20;HS-grad;<=50K
Separated;40;34;11th;<=50K
Never-married;32;44;HS-grad;<=50K
Widowed;40;60;HS-grad;<=50K
Never-married;40;30;Bachelors;<=50K
Never-married;48;58;Bachelors;<=50K
Married-civ-spouse;50;52;HS-grad;<=50K
Never-married;40;30;Bachelors;<=50K
Divorced;40;39;HS-grad;<=50K
Never-married;20;22;Some-college;<=50K
Married-civ-spouse;60;55;HS-grad;<=50K
Widowed;2;68;Bachelors;<=50K
Married-civ-spouse;38;25;Some-college;<=50K
Never-married;40;28;HS-grad;<=50K
Never-married;40;34;Bachelors;<=50K
Never-married;56;39;Assoc-acdm;<=50K
Never-married;50;28;HS-grad;<=50K
Married-spouse-absent;20;19;12th;<=50K
Married-civ-spouse;40;57;Some-college;>50K
Married-civ-spouse;45;46;11th;>50K
Never-married;50;24;Some-college;>50K
Divorced;20;19;11th;<=50K
Married-civ-spouse;60;41;Prof-school;>50K
Married-civ-spouse;32;32;HS-grad;<=50K
Never-married;40;27;9th;<=50K
Never-married;20;21;HS-grad;<=50K
Never-married;40;21;HS-grad;<=50K
Married-civ-spouse;50;51;Bachelors;>50K
Divorced;40;39;Bachelors;<=50K
Married-civ-spouse;40;42;HS-grad;<=50K
Never-married;50;41;Masters;>50K
Divorced;35;23;11th;<=50K
Never-married;48;23;HS-grad;<=50K
Never-married;40;34;HS-grad;<=50K
Never-married;40;26;5th-6th;<=50K
Married-civ-spouse;40;41;11th;<=50K
Married-civ-spouse;50;39;Prof-school;>50K
Never-married;40;23;Assoc-voc;<=50K
Never-married;20;18;Some-college;<=50K
Married-civ-spouse;40;39;Bachelors;<=50K
Never-married;14;18;12th;<=50K
Married-civ-spouse;40;53;HS-grad;<=50K
Married-civ-spouse;40;50;Masters;>50K
Married-civ-spouse;18;29;HS-grad;<=50K
Widowed;20;73;Some-college;<=50K
Married-civ-spouse;50;59;HS-grad;<=50K
Never-married;50;29;HS-grad;<=50K
Never-married;40;41;Bachelors;<=50K
Married-civ-spouse;40;24;Some-college;<=50K
Widowed;35;68;11th;<=50K
Never-married;40;33;Bachelors;<=50K
Never-married;40;28;Bachelors;<=50K
Separated;50;49;Some-college;<=50K
Married-civ-spouse;40;43;HS-grad;>50K
Never-married;40;33;HS-grad;<=50K
Married-civ-spouse;99;55;Some-college;>50K
Married-civ-spouse;40;34;HS-grad;>50K
Never-married;75;71;11th;<=50K
Never-married;16;21;Some-college;<=50K
Married-civ-spouse;50;24;HS-grad;<=50K
Married-civ-spouse;60;47;Bachelors;>50K
Separated;40;49;HS-grad;<=50K
Married-civ-spouse;40;29;Some-college;<=50K
Married-civ-spouse;35;64;Bachelors;>50K
Widowed;15;65;Some-college;<=50K
Married-civ-spouse;60;45;Bachelors;<=50K
Never-married;35;24;HS-grad;<=50K
Married-civ-spouse;40;76;9th;<=50K
Divorced;50;34;Assoc-acdm;>50K
Married-civ-spouse;40;30;11th;<=50K
Married-civ-spouse;72;37;HS-grad;<=50K
Never-married;40;30;Bachelors;<=50K
Divorced;40;63;Masters;>50K
Married-civ-spouse;40;29;HS-grad;<=50K
Never-married;30;24;HS-grad;<=50K
Married-civ-spouse;40;52;Doctorate;>50K
Never-married;55;33;Assoc-acdm;<=50K
Never-married;30;25;HS-grad;<=50K
Married-civ-spouse;40;60;Bachelors;<=50K
Never-married;40;29;11th;<=50K
Never-married;65;22;Some-college;<=50K
Married-civ-spouse;60;41;Assoc-acdm;>50K
Never-married;65;26;Assoc-voc;<=50K
Never-married;48;50;Masters;>50K
Never-married;20;20;HS-grad;<=50K
Never-married;40;45;Masters;<=50K
Married-civ-spouse;55;28;Bachelors;<=50K
Married-civ-spouse;45;29;Assoc-acdm;<=50K
Married-civ-spouse;40;49;HS-grad;<=50K
Married-civ-spouse;40;45;Some-college;<=50K
Married-civ-spouse;40;38;Bachelors;>50K
Married-civ-spouse;40;49;HS-grad;>50K
Married-civ-spouse;50;27;HS-grad;>50K
Married-civ-spouse;40;58;5th-6th;<=50K
Divorced;40;39;Some-college;<=50K
Married-civ-spouse;40;58;11th;<=50K
Never-married;40;28;HS-grad;<=50K
Married-civ-spouse;7;28;Some-college;<=50K
Never-married;10;27;Prof-school;<=50K
Never-married;40;40;Assoc-voc;<=50K
Married-civ-spouse;40;43;10th;<=50K
Never-married;40;27;HS-grad;<=50K
Widowed;21;61;7th-8th;<=50K
Married-civ-spouse;40;32;HS-grad;<=50K
Divorced;40;50;Bachelors;<=50K
Married-civ-spouse;50;45;Bachelors;<=50K
Married-civ-spouse;70;40;Some-college;>50K
Never-married;25;42;HS-grad;<=50K
Married-civ-spouse;50;59;Bachelors;>50K
Married-civ-spouse;60;33;Assoc-acdm;>50K
Married-civ-spouse;40;32;Some-college;<=50K
Married-civ-spouse;28;39;Bachelors;<=50K
Married-civ-spouse;72;58;HS-grad;>50K
Never-married;16;22;Some-college;<=50K
Married-civ-spouse;45;41;Assoc-acdm;>50K
Divorced;40;25;Some-college;<=50K
Married-civ-spouse;60;63;Prof-school;>50K
Married-civ-spouse;50;66;Bachelors;>50K
Divorced;40;38;10th;<=50K
Never-married;16;20;Some-college;<=50K
Separated;40;39;10th;<=50K
Married-civ-spouse;42;29;HS-grad;<=50K
Never-married;30;18;11th;<=50K
Married-civ-spouse;96;41;5th-6th;<=50K
Widowed;30;53;5th-6th;<=50K
Married-civ-spouse;40;31;HS-grad;<=50K
Divorced;40;36;HS-grad;<=50K
Married-civ-spouse;40;33;Bachelors;>50K
Married-civ-spouse;40;64;Assoc-acdm;<=50K
Divorced;38;43;Bachelors;<=50K
Never-married;30;18;HS-grad;<=50K
Married-civ-spouse;40;38;Bachelors;>50K
Never-married;40;23;Some-college;<=50K
Widowed;25;72;Some-college;<=50K
Divorced;48;33;Some-college;>50K
Married-civ-spouse;40;35;Some-college;>50K
Divorced;50;46;HS-grad;<=50K
Married-civ-spouse;40;47;HS-grad;<=50K
Married-civ-spouse;50;36;Assoc-voc;>50K
Never-married;40;33;Bachelors;<=50K
Married-civ-spouse;40;58;Bachelors;>50K
Married-civ-spouse;50;39;Bachelors;>50K
Married-civ-spouse;50;36;Masters;>50K
Never-married;56;29;HS-grad;<=50K
Never-married;50;32;Bachelors;>50K
Married-civ-spouse;45;48;Some-college;>50K
Never-married;15;17;11th;<=50K
Married-civ-spouse;50;30;Prof-school;<=50K
Married-civ-spouse;40;26;HS-grad;<=50K
Married-civ-spouse;40;50;HS-grad;>50K
Never-married;60;27;Some-college;<=50K
Never-married;50;30;Bachelors;>50K
Married-civ-spouse;30;76;Bachelors;<=50K
Married-civ-spouse;55;34;Prof-school;>50K
Married-civ-spouse;40;60;Bachelors;>50K
Never-married;25;22;Some-college;<=50K
Married-civ-spouse;50;53;Masters;>50K
Divorced;64;65;10th;<=50K
Divorced;50;42;HS-grad;<=50K
Never-married;40;22;HS-grad;<=50K
Married-civ-spouse;45;72;7th-8th;<=50K
Divorced;40;33;Bachelors;<=50K
Married-civ-spouse;40;36;Masters;>50K
Married-civ-spouse;40;51;HS-grad;<=50K
Never-married;50;48;HS-grad;<=50K
Married-civ-spouse;40;49;5th-6th;<=50K
Married-civ-spouse;40;41;Bachelors;>50K
Married-civ-spouse;50;34;Prof-school;<=50K
Divorced;55;38;11th;<=50K
Divorced;45;55;HS-grad;<=50K
Divorced;35;61;7th-8th;<=50K
Married-civ-spouse;40;47;Some-college;<=50K
Divorced;40;45;10th;<=50K
Married-civ-spouse;40;43;Bachelors;>50K
Never-married;22;23;Some-college;<=50K
Married-civ-spouse;45;37;Bachelors;>50K
Never-married;40;30;HS-grad;<=50K
Married-civ-spouse;35;42;Prof-school;>50K
Married-civ-spouse;36;31;HS-grad;<=50K
Divorced;40;53;Some-college;<=50K
Married-civ-spouse;40;47;7th-8th;<=50K
Married-civ-spouse;40;37;Assoc-voc;>50K
Married-civ-spouse;4;71;Some-college;<=50K
Never-married;40;20;10th;<=50K
Married-civ-spouse;50;45;Some-college;>50K
Separated;35;22;HS-grad;<=50K
Married-civ-spouse;50;50;Doctorate;>50K
Never-married;53;20;HS-grad;<=50K
Never-married;40;23;Bachelors;<=50K
Never-married;40;43;Masters;<=50K
Married-civ-spouse;45;37;Some-college;>50K
Never-married;18;17;11th;<=50K
Married-civ-spouse;60;40;Bachelors;<=50K
Divorced;70;43;Bachelors;>50K
Never-married;40;23;HS-grad;<=50K
Married-civ-spouse;50;51;Bachelors;<=50K
Married-civ-spouse;40;42;11th;<=50K
Never-married;48;43;Some-college;>50K
Divorced;45;39;Assoc-voc;<=50K
Divorced;40;41;HS-grad;<=50K
Separated;25;27;HS-grad;<=50K
Never-married;40;23;Assoc-voc;<=50K
Widowed;36;62;HS-grad;<=50K
Married-civ-spouse;50;38;Assoc-voc;<=50K
Married-civ-spouse;40;21;Preschool;<=50K
Never-married;25;18;Some-college;<=50K
Separated;25;40;7th-8th;<=50K
Divorced;40;29;HS-grad;<=50K
Married-civ-spouse;30;22;Some-college;<=50K
Never-married;35;28;9th;<=50K
Married-civ-spouse;40;66;HS-grad;<=50K
Never-married;60;35;Assoc-acdm;<=50K
Married-civ-spouse;40;30;Assoc-voc;<=50K
Married-civ-spouse;40;46;11th;<=50K
Never-married;40;25;Some-college;<=50K
Never-married;10;17;10th;<=50K
Married-civ-spouse;50;31;Some-college;>50K
Never-married;30;20;Some-college;<=50K
Divorced;50;38;Some-college;<=50K
Never-married;40;32;Some-college;<=50K
Never-married;40;39;HS-grad;<=50K
Married-civ-spouse;40;54;Some-college;>50K
Never-married;40;32;Masters;<=50K
Married-civ-spouse;40;31;HS-grad;<=50K
Divorced;40;41;HS-grad;<=50K
Married-civ-spouse;40;49;HS-grad;<=50K
Widowed;40;47;1st-4th;<=50K
Married-civ-spouse;42;51;7th-8th;<=50K
Married-civ-spouse;40;58;Bachelors;<=50K
Divorced;50;34;HS-grad;<=50K
Married-civ-spouse;60;39;11th;<=50K
Married-civ-spouse;40;58;Bachelors;>50K
Married-civ-spouse;99;38;Bachelors;<=50K
Never-married;40;28;HS-grad;<=50K
Never-married;40;18;HS-grad;<=50K
Never-married;40;20;HS-grad;<=50K
Married-civ-spouse;60;46;Bachelors;>50K
Married-civ-spouse;40;41;Some-college;<=50K
Never-married;40;30;HS-grad;<=50K
Separated;40;51;5th-6th;<=50K
Never-married;32;21;HS-grad;<=50K
Married-civ-spouse;40;40;Assoc-voc;>50K
Married-civ-spouse;40;42;Some-college;>50K
Married-civ-spouse;60;46;Bachelors;>50K
Never-married;30;17;11th;<=50K
Never-married;5;17;11th;<=50K
Married-civ-spouse;80;64;7th-8th;<=50K
Married-civ-spouse;40;64;7th-8th;>50K
Married-civ-spouse;40;33;Bachelors;<=50K
Never-married;40;22;HS-grad;<=50K
Widowed;32;70;Bachelors;<=50K
Never-married;30;23;HS-grad;<=50K
Never-married;40;24;HS-grad;<=50K
Married-civ-spouse;50;52;Masters;>50K
Married-AF-spouse;40;30;HS-grad;<=50K
Never-married;38;44;Bachelors;<=50K
Widowed;55;65;HS-grad;<=50K
Divorced;65;48;Some-college;<=50K
Married-civ-spouse;40;60;7th-8th;<=50K
Divorced;40;36;HS-grad;<=50K
Married-civ-spouse;45;36;Bachelors;>50K
