marital_status;hours_per_week;age;education;income
Married-civ-spouse;60;59.0;Bachelors;>50K
Divorced;30;55.0;Assoc-voc;<=50K
Married-civ-spouse;55;52.0;HS-grad;>50K
Married-civ-spouse;40;40.0;Bachelors;<=50K
Never-married;40;41.0;HS-grad;<=50K
Married-civ-spouse;40;34.0;HS-grad;<=50K
Married-civ-spouse;40;47.0;Doctorate;>50K
Married-civ-spouse;40;28.0;Assoc-voc;<=50K
Married-civ-spouse;40;36.0;Bachelors;>50K
Married-civ-spouse;25;42.0;HS-grad;<=50K
Never-married;50;37.0;10th;>50K
Married-civ-spouse;40;51.0;HS-grad;<=50K
Never-married;50;28.0;Masters;<=50K
Divorced;90;49.0;HS-grad;<=50K
Married-civ-spouse;40;44.0;Bachelors;>50K
Never-married;48;39.0;Some-college;>50K
Widowed;40;60.0;HS-grad;<=50K
Divorced;40;57.0;Some-college;<=50K
Never-married;40;39.0;HS-grad;<=50K
Widowed;40;51.0;10th;<=50K
Married-civ-spouse;40;42.0;Bachelors;>50K
Separated;40;28.0;Some-college;<=50K
Never-married;40;29.0;Assoc-acdm;<=50K
Never-married;50;24.0;Bachelors;<=50K
Never-married;20;21.0;Some-college;<=50K
Married-civ-spouse;50;32.0;Some-college;<=50K
Married-civ-spouse;40;36.0;10th;<=50K
Divorced;40;42.0;Assoc-acdm;<=50K
Married-civ-spouse;65;41.0;Masters;>50K
Married-civ-spouse;40;24.0;HS-grad;<=50K
Never-married;50;24.0;HS-grad;>50K
Married-civ-spouse;40;39.0;7th-8th;<=50K
Never-married;45;26.0;Some-college;<=50K
Never-married;35;25.0;Bachelors;>50K
Married-civ-spouse;24;59.0;Some-college;<=50K
Married-civ-spouse;40;32.0;Bachelors;>50K
Never-married;30;33.0;HS-grad;<=50K
Married-civ-spouse;40;32.0;11th;>50K
Never-married;50;;;<=50K
Married-civ-spouse;65;46.0;Masters;>50K
Married-civ-spouse;40;54.0;Masters;>50K
Never-married;40;28.0;9th;<=50K
Married-civ-spouse;37;36.0;Assoc-voc;<=50K
Never-married;40;30.0;HS-grad;<=50K
Never-married;50;29.0;Bachelors;<=50K
Married-civ-spouse;40;52.0;Assoc-voc;<=50K
Married-civ-spouse;50;23.0;HS-grad;<=50K
Never-married;50;23.0;Bachelors;<=50K
Divorced;40;60.0;HS-grad;>50K
Never-married;40;25.0;HS-grad;<=50K
Married-civ-spouse;20;61.0;HS-grad;<=50K
Married-civ-spouse;40;27.0;Bachelors;>50K
Never-married;40;27.0;HS-grad;<=50K
Married-civ-spouse;40;41.0;HS-grad;<=50K
Divorced;40;52.0;HS-grad;<=50K
Married-civ-spouse;40;39.0;Bachelors;<=50K
Never-married;40;24.0;Bachelors;<=50K
Divorced;40;;Assoc-voc;<=50K
Married-civ-spouse;50;41.0;Bachelors;>50K
Never-married;40;34.0;HS-grad;<=50K
Married-civ-spouse;60;39.0;Assoc-voc;<=50K
Married-civ-spouse;50;54.0;Doctorate;>50K
Married-spouse-absent;40;48.0;7th-8th;<=50K
Never-married;33;18.0;HS-grad;<=50K
Married-civ-spouse;50;59.0;Masters;>50K
Never-married;38;40.0;Some-college;<=50K
Married-civ-spouse;30;53.0;Some-college;<=50K
Married-civ-spouse;40;27.0;Some-college;<=50K
Married-civ-spouse;40;57.0;Masters;>50K
Never-married;40;22.0;Some-college;<=50K
Never-married;40;29.0;Bachelors;<=50K
Never-married;25;18.0;HS-grad;<=50K
Never-married;25;17.0;10th;<=50K
Never-married;40;39.0;HS-grad;<=50K
Married-civ-spouse;35;42.0;HS-grad;>50K
Never-married;40;25.0;7th-8th;<=50K
Never-married;40;31.0;HS-grad;<=50K
Widowed;20;68.0;10th;<=50K
Never-married;40;25.0;Bachelors;<=50K
Divorced;24;61.0;Bachelors;<=50K
Married-civ-spouse;40;21.0;Assoc-voc;<=50K
Never-married;60;48.0;Some-college;>50K
Never-married;40;26.0;HS-grad;<=50K
Separated;32;38.0;HS-grad;<=50K
Never-married;40;24.0;Bachelors;<=50K
Married-civ-spouse;50;40.0;HS-grad;<=50K
Never-married;35;18.0;12th;<=50K
Married-civ-spouse;40;35.0;Some-college;>50K
Married-civ-spouse;40;35.0;HS-grad;<=50K
Separated;30;53.0;HS-grad;<=50K
Married-civ-spouse;43;59.0;Some-college;>50K
Married-civ-spouse;60;41.0;HS-grad;<=50K
Never-married;20;19.0;Some-college;<=50K
Never-married;24;19.0;10th;<=50K
Married-civ-spouse;40;35.0;Bachelors;<=50K
Separated;50;42.0;Some-college;>50K
Married-civ-spouse;40;52.0;HS-grad;>50K
Married-civ-spouse;43;50.0;Bachelors;>50K
Married-civ-spouse;40;49.0;Masters;>50K
Never-married;25;28.0;Bachelors;<=50K
Married-civ-spouse;40;44.0;Assoc-voc;>50K
Married-civ-spouse;50;44.0;Bachelors;>50K
Married-civ-spouse;40;37.0;HS-grad;<=50K
Widowed;3;66.0;Assoc-acdm;<=50K
Divorced;40;50.0;HS-grad;<=50K
Separated;40;39.0;HS-grad;<=50K
Never-married;50;24.0;Bachelors;<=50K
Married-civ-spouse;40;72.0;Doctorate;<=50K
Married-civ-spouse;40;53.0;Prof-school;>50K
Separated;35;33.0;HS-grad;<=50K
Divorced;20;28.0;HS-grad;<=50K
Widowed;38;62.0;HS-grad;<=50K
Divorced;40;52.0;Some-college;<=50K
Married-civ-spouse;40;31.0;7th-8th;<=50K
Married-civ-spouse;50;34.0;Some-college;>50K
Never-married;50;40.0;Bachelors;<=50K
Married-civ-spouse;40;27.0;HS-grad;>50K
Married-civ-spouse;65;29.0;Some-college;<=50K
Married-civ-spouse;40;33.0;HS-grad;<=50K
Married-civ-spouse;40;46.0;Preschool;<=50K
Married-civ-spouse;60;41.0;Some-college;>50K
Never-married;30;20.0;Some-college;<=50K
Never-married;20;19.0;Some-college;<=50K
Married-civ-spouse;40;30.0;Bachelors;<=50K
Married-civ-spouse;4;65.0;Masters;<=50K
Never-married;40;51.0;HS-grad;<=50K
Never-married;55;48.0;Bachelors;>50K
Married-civ-spouse;36;61.0;HS-grad;<=50K
Married-civ-spouse;40;40.0;5th-6th;<=50K
Never-married;45;31.0;Bachelors;>50K
Married-civ-spouse;40;38.0;HS-grad;<=50K
Married-civ-spouse;40;57.0;Bachelors;<=50K
Married-civ-spouse;40;50.0;HS-grad;<=50K
Divorced;40;62.0;Some-college;<=50K
Divorced;40;48.0;Assoc-acdm;>50K
Never-married;40;39.0;Masters;<=50K
Divorced;40;39.0;HS-grad;<=50K
Divorced;37;59.0;10th;<=50K
Married-civ-spouse;40;27.0;Bachelors;<=50K
Married-civ-spouse;55;34.0;Masters;>50K
Married-civ-spouse;38;43.0;Some-college;>50K
Married-spouse-absent;40;21.0;HS-grad;<=50K
Married-civ-spouse;48;64.0;Assoc-voc;<=50K
Divorced;35;53.0;HS-grad;<=50K
Married-civ-spouse;40;90.0;Bachelors;>50K
Never-married;45;30.0;HS-grad;<=50K
Never-married;24;23.0;Some-college;<=50K
Never-married;30;41.0;Doctorate;<=50K
Married-civ-spouse;15;40.0;HS-grad;<=50K
Never-married;40;19.0;Some-college;<=50K
Married-civ-spouse;40;58.0;Some-college;>50K
Never-married;50;25.0;Bachelors;>50K
Never-married;40;34.0;5th-6th;<=50K
Separated;40;47.0;HS-grad;<=50K
Never-married;50;24.0;Bachelors;<=50K
Married-civ-spouse;50;50.0;Bachelors;>50K
Married-spouse-absent;35;19.0;7th-8th;<=50K
Divorced;12;44.0;Bachelors;<=50K
Divorced;40;47.0;HS-grad;<=50K
Never-married;40;27.0;9th;<=50K
Married-civ-spouse;32;60.0;HS-grad;<=50K
Widowed;37;54.0;HS-grad;<=50K
Married-civ-spouse;55;49.0;Bachelors;>50K
Never-married;5;17.0;10th;<=50K
Married-civ-spouse;56;27.0;Some-college;<=50K
Never-married;40;36.0;Masters;<=50K
Married-civ-spouse;50;47.0;HS-grad;>50K
Never-married;40;23.0;Bachelors;<=50K
Married-civ-spouse;30;69.0;HS-grad;<=50K
Never-married;40;33.0;HS-grad;>50K
Married-civ-spouse;34;53.0;10th;<=50K
Married-civ-spouse;40;55.0;HS-grad;<=50K
Married-civ-spouse;40;66.0;HS-grad;>50K
Married-civ-spouse;50;32.0;HS-grad;<=50K
Never-married;25;18.0;Some-college;<=50K
Widowed;28;53.0;Bachelors;<=50K
Separated;55;40.0;Assoc-acdm;<=50K
Never-married;40;29.0;Masters;<=50K
Never-married;38;51.0;Assoc-acdm;<=50K
Separated;40;35.0;Some-college;<=50K
Divorced;40;40.0;Some-college;<=50K
Never-married;40;18.0;10th;<=50K
Never-married;50;32.0;Bachelors;<=50K
Married-civ-spouse;14;59.0;Some-college;>50K
Never-married;40;29.0;Assoc-voc;<=50K
Married-civ-spouse;40;58.0;5th-6th;<=50K
Married-spouse-absent;40;17.0;10th;<=50K
Married-civ-spouse;43;28.0;1st-4th;<=50K
Married-civ-spouse;40;33.0;Assoc-voc;>50K
Married-civ-spouse;55;47.0;HS-grad;>50K
Never-married;50;24.0;HS-grad;<=50K
Married-civ-spouse;60;40.0;Masters;>50K
Divorced;40;44.0;Some-college;<=50K
Married-civ-spouse;42;62.0;9th;<=50K
Divorced;38;40.0;HS-grad;<=50K
Married-civ-spouse;37;51.0;Bachelors;>50K
Married-civ-spouse;7;79.0;HS-grad;<=50K
Married-civ-spouse;50;44.0;Bachelors;>50K
Never-married;40;33.0;Assoc-voc;<=50K
Never-married;43;58.0;Doctorate;>50K
Married-civ-spouse;40;62.0;10th;<=50K
Divorced;30;36.0;HS-grad;<=50K
Married-civ-spouse;50;46.0;Some-college;>50K
Never-married;64;24.0;Some-college;<=50K
Married-civ-spouse;20;22.0;Bachelors;<=50K
Married-spouse-absent;35;30.0;Bachelors;<=50K
Never-married;26;33.0;Some-college;<=50K
Married-civ-spouse;50;39.0;HS-grad;<=50K
Married-civ-spouse;40;39.0;Some-college;>50K
Married-civ-spouse;50;46.0;Bachelors;>50K
Married-civ-spouse;52;53.0;HS-grad;>50K
Separated;40;32.0;9th;<=50K
Never-married;40;33.0;Assoc-acdm;<=50K
Never-married;40;40.0;11th;<=50K
Never-married;8;17.0;9th;<=50K
Married-civ-spouse;40;34.0;Some-college;<=50K
Never-married;40;22.0;Some-college;<=50K
Never-married;40;23.0;HS-grad;<=50K
Married-civ-spouse;40;50.0;HS-grad;>50K
Divorced;40;45.0;Assoc-acdm;<=50K
Never-married;40;33.0;HS-grad;<=50K
Never-married;40;52.0;7th-8th;<=50K
Never-married;40;23.0;Bachelors;<=50K
Married-civ-spouse;50;56.0;Bachelors;>50K
Never-married;55;29.0;Masters;<=50K
Divorced;25;47.0;Assoc-voc;<=50K
Married-civ-spouse;50;44.0;Some-college;>50K
Never-married;30;38.0;HS-grad;<=50K
Married-civ-spouse;40;34.0;HS-grad;<=50K
Never-married;25;18.0;11th;<=50K
Married-civ-spouse;40;56.0;Masters;>50K
Never-married;12;23.0;Bachelors;<=50K
Never-married;23;18.0;11th;<=50K
Divorced;50;37.0;Some-college;<=50K
Married-civ-spouse;40;50.0;Bachelors;<=50K
Married-civ-spouse;50;40.0;Some-college;<=50K
Married-civ-spouse;40;33.0;7th-8th;<=50K
Married-civ-spouse;40;53.0;HS-grad;<=50K
Married-civ-spouse;40;35.0;HS-grad;<=50K
Married-civ-spouse;40;54.0;HS-grad;<=50K
Married-civ-spouse;45;45.0;HS-grad;<=50K
Divorced;35;44.0;Bachelors;<=50K
Never-married;20;22.0;HS-grad;<=50K
Married-civ-spouse;20;50.0;HS-grad;<=50K
Married-civ-spouse;40;40.0;Prof-school;>50K
Never-married;45;30.0;Masters;<=50K
Married-civ-spouse;40;37.0;HS-grad;>50K
Married-civ-spouse;15;33.0;Bachelors;<=50K
Married-civ-spouse;40;38.0;9th;<=50K
Never-married;8;23.0;HS-grad;<=50K
Never-married;30;22.0;HS-grad;<=50K
Divorced;40;30.0;11th;<=50K
Never-married;60;26.0;Bachelors;<=50K
Divorced;40;54.0;Bachelors;>50K
Married-civ-spouse;40;38.0;9th;<=50K
Married-civ-spouse;45;30.0;Some-college;<=50K
Divorced;40;44.0;Some-college;<=50K
Never-married;15;17.0;11th;<=50K
Divorced;40;36.0;HS-grad;<=50K
Married-civ-spouse;12;74.0;HS-grad;<=50K
Married-civ-spouse;10;81.0;7th-8th;<=50K
Married-civ-spouse;48;24.0;Assoc-acdm;<=50K
Married-civ-spouse;38;34.0;Some-college;<=50K
Married-civ-spouse;40;39.0;9th;<=50K
Married-civ-spouse;55;45.0;Bachelors;<=50K
Married-civ-spouse;50;64.0;10th;>50K
Divorced;30;30.0;Assoc-voc;<=50K
Married-civ-spouse;52;39.0;Bachelors;<=50K
Never-married;40;25.0;Some-college;<=50K
Married-civ-spouse;60;39.0;Some-college;<=50K
Married-civ-spouse;50;36.0;Some-college;>50K
Divorced;40;34.0;Some-college;<=50K
Married-civ-spouse;70;64.0;7th-8th;<=50K
Married-civ-spouse;40;26.0;Bachelors;>50K
Never-married;50;25.0;Bachelors;<=50K
Never-married;15;20.0;Some-college;<=50K
Married-AF-spouse;40;34.0;Some-college;>50K
Never-married;30;18.0;12th;<=50K
Divorced;55;49.0;HS-grad;<=50K
Divorced;40;32.0;HS-grad;<=50K
Married-civ-spouse;25;73.0;7th-8th;<=50K
Never-married;30;20.0;Some-college;<=50K
Married-civ-spouse;40;35.0;HS-grad;<=50K
Married-civ-spouse;60;55.0;HS-grad;<=50K
Divorced;40;49.0;9th;<=50K
Married-civ-spouse;40;48.0;Masters;>50K
Divorced;40;53.0;1st-4th;<=50K
Married-civ-spouse;36;57.0;Prof-school;<=50K
Never-married;20;17.0;11th;<=50K
Divorced;40;37.0;HS-grad;<=50K
Divorced;35;33.0;HS-grad;<=50K
Never-married;35;67.0;HS-grad;<=50K
Married-civ-spouse;43;41.0;Some-college;<=50K
Married-civ-spouse;45;37.0;Assoc-acdm;<=50K
Married-civ-spouse;20;33.0;HS-grad;<=50K
Divorced;40;39.0;Masters;<=50K
Never-married;10;21.0;Some-college;<=50K
Married-civ-spouse;40;35.0;Bachelors;<=50K
Never-married;40;20.0;HS-grad;<=50K
Separated;40;34.0;11th;<=50K
Never-married;32;44.0;HS-grad;<=50K
Widowed;40;60.0;HS-grad;<=50K
Never-married;40;30.0;Bachelors;<=50K
Never-married;48;58.0;Bachelors;<=50K
Married-civ-spouse;50;52.0;HS-grad;<=50K
Never-married;40;30.0;Bachelors;<=50K
Divorced;40;39.0;HS-grad;<=50K
Never-married;20;22.0;Some-college;<=50K
Married-civ-spouse;60;55.0;HS-grad;<=50K
Widowed;2;68.0;Bachelors;<=50K
Married-civ-spouse;38;25.0;Some-college;<=50K
Never-married;40;28.0;HS-grad;<=50K
Never-married;40;34.0;Bachelors;<=50K
Never-married;56;39.0;Assoc-acdm;<=50K
Never-married;50;28.0;HS-grad;<=50K
Married-spouse-absent;20;19.0;12th;<=50K
Married-civ-spouse;40;57.0;Some-college;>50K
Married-civ-spouse;45;46.0;11th;>50K
Never-married;50;24.0;Some-college;>50K
Divorced;20;19.0;11th;<=50K
Married-civ-spouse;60;41.0;Prof-school;>50K
Married-civ-spouse;32;32.0;HS-grad;<=50K
Never-married;40;27.0;9th;<=50K
Never-married;20;21.0;HS-grad;<=50K
Never-married;40;21.0;HS-grad;<=50K
Married-civ-spouse;50;51.0;Bachelors;>50K
Divorced;40;39.0;Bachelors;<=50K
Married-civ-spouse;40;42.0;HS-grad;<=50K
Never-married;50;41.0;Masters;>50K
Divorced;35;23.0;11th;<=50K
Never-married;48;23.0;HS-grad;<=50K
Never-married;40;34.0;HS-grad;<=50K
Never-married;40;26.0;5th-6th;<=50K
Married-civ-spouse;40;41.0;11th;<=50K
Married-civ-spouse;50;39.0;Prof-school;>50K
Never-married;40;23.0;Assoc-voc;<=50K
Never-married;20;18.0;Some-college;<=50K
Married-civ-spouse;40;39.0;Bachelors;<=50K
Never-married;14;18.0;12th;<=50K
Married-civ-spouse;40;53.0;HS-grad;<=50K
Married-civ-spouse;40;50.0;Masters;>50K
Married-civ-spouse;18;29.0;HS-grad;<=50K
Widowed;20;73.0;Some-college;<=50K
Married-civ-spouse;50;59.0;HS-grad;<=50K
Never-married;50;29.0;HS-grad;<=50K
Never-married;40;41.0;Bachelors;<=50K
Married-civ-spouse;40;24.0;Some-college;<=50K
Widowed;35;68.0;11th;<=50K
Never-married;40;33.0;Bachelors;<=50K
Never-married;40;28.0;Bachelors;<=50K
Separated;50;49.0;Some-college;<=50K
Married-civ-spouse;40;43.0;HS-grad;>50K
Never-married;40;33.0;HS-grad;<=50K
Married-civ-spouse;99;55.0;Some-college;>50K
Married-civ-spouse;40;34.0;HS-grad;>50K
Never-married;75;71.0;11th;<=50K
Never-married;16;21.0;Some-college;<=50K
Married-civ-spouse;50;24.0;HS-grad;<=50K
Married-civ-spouse;60;47.0;Bachelors;>50K
Separated;40;49.0;HS-grad;<=50K
Married-civ-spouse;40;29.0;Some-college;<=50K
Married-civ-spouse;35;64.0;Bachelors;>50K
Widowed;15;65.0;Some-college;<=50K
Married-civ-spouse;60;45.0;Bachelors;<=50K
Never-married;35;24.0;HS-grad;<=50K
Married-civ-spouse;40;76.0;9th;<=50K
Divorced;50;34.0;Assoc-acdm;>50K
Married-civ-spouse;40;30.0;11th;<=50K
Married-civ-spouse;72;37.0;HS-grad;<=50K
Never-married;40;30.0;Bachelors;<=50K
Divorced;40;63.0;Masters;>50K
Married-civ-spouse;40;29.0;HS-grad;<=50K
Never-married;30;24.0;HS-grad;<=50K
Married-civ-spouse;40;52.0;Doctorate;>50K
Never-married;55;33.0;Assoc-acdm;<=50K
Never-married;30;25.0;HS-grad;<=50K
Married-civ-spouse;40;60.0;Bachelors;<=50K
Never-married;40;29.0;11th;<=50K
Never-married;65;22.0;Some-college;<=50K
Married-civ-spouse;60;41.0;Assoc-acdm;>50K
Never-married;65;26.0;Assoc-voc;<=50K
Never-married;48;50.0;Masters;>50K
Never-married;20;20.0;HS-grad;<=50K
Never-married;40;45.0;Masters;<=50K
Married-civ-spouse;55;28.0;Bachelors;<=50K
Married-civ-spouse;45;29.0;Assoc-acdm;<=50K
Married-civ-spouse;40;49.0;HS-grad;<=50K
Married-civ-spouse;40;45.0;Some-college;<=50K
Married-civ-spouse;40;38.0;Bachelors;>50K
Married-civ-spouse;40;49.0;HS-grad;>50K
Married-civ-spouse;50;27.0;HS-grad;>50K
Married-civ-spouse;40;58.0;5th-6th;<=50K
Divorced;40;39.0;Some-college;<=50K
Married-civ-spouse;40;58.0;11th;<=50K
Never-married;40;28.0;HS-grad;<=50K
Married-civ-spouse;7;28.0;Some-college;<=50K
Never-married;10;27.0;Prof-school;<=50K
Never-married;40;40.0;Assoc-voc;<=50K
Married-civ-spouse;40;43.0;10th;<=50K
Never-married;40;27.0;HS-grad;<=50K
Widowed;21;61.0;7th-8th;<=50K
Married-civ-spouse;40;32.0;HS-grad;<=50K
Divorced;40;50.0;Bachelors;<=50K
Married-civ-spouse;50;45.0;Bachelors;<=50K
Married-civ-spouse;70;40.0;Some-college;>50K
Never-married;25;42.0;HS-grad;<=50K
Married-civ-spouse;50;59.0;Bachelors;>50K
Married-civ-spouse;60;33.0;Assoc-acdm;>50K
Married-civ-spouse;40;32.0;Some-college;<=50K
Married-civ-spouse;28;39.0;Bachelors;<=50K
Married-civ-spouse;72;58.0;HS-grad;>50K
Never-married;16;22.0;Some-college;<=50K
Married-civ-spouse;45;41.0;Assoc-acdm;>50K
Divorced;40;25.0;Some-college;<=50K
Married-civ-spouse;60;63.0;Prof-school;>50K
Married-civ-spouse;50;66.0;Bachelors;>50K
Divorced;40;38.0;10th;<=50K
Never-married;16;20.0;Some-college;<=50K
Separated;40;39.0;10th;<=50K
Married-civ-spouse;42;29.0;HS-grad;<=50K
Never-married;30;18.0;11th;<=50K
Married-civ-spouse;96;41.0;5th-6th;<=50K
Widowed;30;53.0;5th-6th;<=50K
Married-civ-spouse;40;31.0;HS-grad;<=50K
Divorced;40;36.0;HS-grad;<=50K
Married-civ-spouse;40;33.0;Bachelors;>50K
Married-civ-spouse;40;64.0;Assoc-acdm;<=50K
Divorced;38;43.0;Bachelors;<=50K
Never-married;30;18.0;HS-grad;<=50K
Married-civ-spouse;40;38.0;Bachelors;>50K
Never-married;40;23.0;Some-college;<=50K
Widowed;25;72.0;Some-college;<=50K
Divorced;48;33.0;Some-college;>50K
Married-civ-spouse;40;35.0;Some-college;>50K
Divorced;50;46.0;HS-grad;<=50K
Married-civ-spouse;40;47.0;HS-grad;<=50K
Married-civ-spouse;50;36.0;Assoc-voc;>50K
Never-married;40;33.0;Bachelors;<=50K
Married-civ-spouse;40;58.0;Bachelors;>50K
Married-civ-spouse;50;39.0;Bachelors;>50K
Married-civ-spouse;50;36.0;Masters;>50K
Never-married;56;29.0;HS-grad;<=50K
Never-married;50;32.0;Bachelors;>50K
Married-civ-spouse;45;48.0;Some-college;>50K
Never-married;15;17.0;11th;<=50K
Married-civ-spouse;50;30.0;Prof-school;<=50K
Married-civ-spouse;40;26.0;HS-grad;<=50K
Married-civ-spouse;40;50.0;HS-grad;>50K
Never-married;60;27.0;Some-college;<=50K
Never-married;50;30.0;Bachelors;>50K
Married-civ-spouse;30;76.0;Bachelors;<=50K
Married-civ-spouse;55;34.0;Prof-school;>50K
Married-civ-spouse;40;60.0;Bachelors;>50K
Never-married;25;22.0;Some-college;<=50K
Married-civ-spouse;50;53.0;Masters;>50K
Divorced;64;65.0;10th;<=50K
Divorced;50;42.0;HS-grad;<=50K
Never-married;40;22.0;HS-grad;<=50K
Married-civ-spouse;45;72.0;7th-8th;<=50K
Divorced;40;33.0;Bachelors;<=50K
Married-civ-spouse;40;36.0;Masters;>50K
Married-civ-spouse;40;51.0;HS-grad;<=50K
Never-married;50;48.0;HS-grad;<=50K
Married-civ-spouse;40;49.0;5th-6th;<=50K
Married-civ-spouse;40;41.0;Bachelors;>50K
Married-civ-spouse;50;34.0;Prof-school;<=50K
Divorced;55;38.0;11th;<=50K
Divorced;45;55.0;HS-grad;<=50K
Divorced;35;61.0;7th-8th;<=50K
Married-civ-spouse;40;47.0;Some-college;<=50K
Divorced;40;45.0;10th;<=50K
Married-civ-spouse;40;43.0;Bachelors;>50K
Never-married;22;23.0;Some-college;<=50K
Married-civ-spouse;45;37.0;Bachelors;>50K
Never-married;40;30.0;HS-grad;<=50K
Married-civ-spouse;35;42.0;Prof-school;>50K
Married-civ-spouse;36;31.0;HS-grad;<=50K
Divorced;40;53.0;Some-college;<=50K
Married-civ-spouse;40;47.0;7th-8th;<=50K
Married-civ-spouse;40;37.0;Assoc-voc;>50K
Married-civ-spouse;4;71.0;Some-college;<=50K
Never-married;40;20.0;10th;<=50K
Married-civ-spouse;50;45.0;Some-college;>50K
Separated;35;22.0;HS-grad;<=50K
Married-civ-spouse;50;50.0;Doctorate;>50K
Never-married;53;20.0;HS-grad;<=50K
Never-married;40;23.0;Bachelors;<=50K
Never-married;40;43.0;Masters;<=50K
Married-civ-spouse;45;37.0;Some-college;>50K
Never-married;18;17.0;11th;<=50K
Married-civ-spouse;60;40.0;Bachelors;<=50K
Divorced;70;43.0;Bachelors;>50K
Never-married;40;23.0;HS-grad;<=50K
Married-civ-spouse;50;51.0;Bachelors;<=50K
Married-civ-spouse;40;42.0;11th;<=50K
Never-married;48;43.0;Some-college;>50K
Divorced;45;39.0;Assoc-voc;<=50K
Divorced;40;41.0;HS-grad;<=50K
Separated;25;27.0;HS-grad;<=50K
Never-married;40;23.0;Assoc-voc;<=50K
Widowed;36;62.0;HS-grad;<=50K
Married-civ-spouse;50;38.0;Assoc-voc;<=50K
Married-civ-spouse;40;21.0;Preschool;<=50K
Never-married;25;18.0;Some-college;<=50K
Separated;25;40.0;7th-8th;<=50K
Divorced;40;29.0;HS-grad;<=50K
