;hours_per_week;age;income;marital_status_Divorced;marital_status_Married-AF-spouse;marital_status_Married-civ-spouse;marital_status_Married-spouse-absent;marital_status_Never-married;marital_status_Separated;marital_status_Widowed
64;40;36;<=50K;1;0;0;0;0;0;0
65;50;42;>50K;0;0;1;0;0;0;0
66;40;42;>50K;0;0;0;0;0;0;1
67;45;54;>50K;0;0;1;0;0;0;0
68;45;66;>50K;0;0;1;0;0;0;0
69;40;30;<=50K;0;0;1;0;0;0;0
70;12;78;<=50K;0;0;0;0;0;0;1
71;40;51;<=50K;0;0;1;0;0;0;0
72;40;53;<=50K;0;0;1;0;0;0;0
73;40;27;<=50K;0;0;0;0;1;0;0
74;40;20;<=50K;0;0;0;0;1;0;0
75;30;32;<=50K;1;0;0;0;0;0;0
76;40;50;>50K;1;0;0;0;0;0;0
77;45;44;>50K;0;0;1;0;0;0;0
78;35;17;<=50K;0;0;0;0;1;0;0
79;50;53;>50K;0;0;1;0;0;0;0
80;26;29;<=50K;0;0;0;0;1;0;0
81;40;41;<=50K;1;0;0;0;0;0;0
82;60;37;>50K;0;0;0;0;1;0;0
83;25;50;<=50K;0;0;0;0;1;0;0
84;45;47;>50K;0;0;1;0;0;0;0
85;60;59;>50K;0;0;1;0;0;0;0
86;30;55;<=50K;1;0;0;0;0;0;0
87;55;52;>50K;0;0;1;0;0;0;0
88;40;40;<=50K;0;0;1;0;0;0;0
89;40;41;<=50K;0;0;0;0;1;0;0
90;40;34;<=50K;0;0;1;0;0;0;0
91;40;47;>50K;0;0;1;0;0;0;0
92;40;28;<=50K;0;0;1;0;0;0;0
93;40;36;>50K;0;0;1;0;0;0;0
94;25;42;<=50K;0;0;1;0;0;0;0
95;50;37;>50K;0;0;0;0;1;0;0
96;40;51;<=50K;0;0;1;0;0;0;0
97;50;28;<=50K;0;0;0;0;1;0;0
98;90;49;<=50K;1;0;0;0;0;0;0
99;40;44;>50K;0;0;1;0;0;0;0
100;48;39;>50K;0;0;0;0;1;0;0
101;40;60;<=50K;0;0;0;0;0;0;1
102;40;57;<=50K;1;0;0;0;0;0;0
103;40;39;<=50K;0;0;0;0;1;0;0
104;40;51;<=50K;0;0;0;0;0;0;1
105;40;42;>50K;0;0;1;0;0;0;0
106;40;28;<=50K;0;0;0;0;0;1;0
107;40;29;<=50K;0;0;0;0;1;0;0
108;50;24;<=50K;0;0;0;0;1;0;0
109;20;21;<=50K;0;0;0;0;1;0;0
110;50;32;<=50K;0;0;1;0;0;0;0
111;40;36;<=50K;0;0;1;0;0;0;0
112;40;42;<=50K;1;0;0;0;0;0;0
113;65;41;>50K;0;0;1;0;0;0;0
114;40;24;<=50K;0;0;1;0;0;0;0
115;50;24;>50K;0;0;0;0;1;0;0
116;40;39;<=50K;0;0;1;0;0;0;0
117;45;26;<=50K;0;0;0;0;1;0;0
118;35;25;>50K;0;0;0;0;1;0;0
119;24;59;<=50K;0;0;1;0;0;0;0
120;40;32;>50K;0;0;1;0;0;0;0
121;30;33;<=50K;0;0;0;0;1;0;0
122;40;32;>50K;0;0;1;0;0;0;0
123;50;27;<=50K;0;0;0;0;1;0;0
124;65;46;>50K;0;0;1;0;0;0;0
125;40;54;>50K;0;0;1;0;0;0;0
126;40;28;<=50K;0;0;0;0;1;0;0
127;37;36;<=50K;0;0;1;0;0;0;0
128;40;30;<=50K;0;0;0;0;1;0;0
129;50;29;<=50K;0;0;0;0;1;0;0
130;40;52;<=50K;0;0;1;0;0;0;0
131;50;23;<=50K;0;0;1;0;0;0;0
132;50;23;<=50K;0;0;0;0;1;0;0
133;40;60;>50K;1;0;0;0;0;0;0
134;40;25;<=50K;0;0;0;0;1;0;0
135;20;61;<=50K;0;0;1;0;0;0;0
136;40;27;>50K;0;0;1;0;0;0;0
137;40;27;<=50K;0;0;0;0;1;0;0
138;40;41;<=50K;0;0;1;0;0;0;0
139;40;52;<=50K;1;0;0;0;0;0;0
140;40;39;<=50K;0;0;1;0;0;0;0
141;40;24;<=50K;0;0;0;0;1;0;0
142;40;36;<=50K;1;0;0;0;0;0;0
143;50;41;>50K;0;0;1;0;0;0;0
144;40;34;<=50K;0;0;0;0;1;0;0
145;60;39;<=50K;0;0;1;0;0;0;0
146;50;54;>50K;0;0;1;0;0;0;0
147;40;48;<=50K;0;0;0;1;0;0;0
148;33;18;<=50K;0;0;0;0;1;0;0
149;50;59;>50K;0;0;1;0;0;0;0
150;38;40;<=50K;0;0;0;0;1;0;0
151;30;53;<=50K;0;0;1;0;0;0;0
152;40;27;<=50K;0;0;1;0;0;0;0
153;40;57;>50K;0;0;1;0;0;0;0
154;40;22;<=50K;0;0;0;0;1;0;0
155;40;29;<=50K;0;0;0;0;1;0;0
156;25;18;<=50K;0;0;0;0;1;0;0
157;25;17;<=50K;0;0;0;0;1;0;0
158;40;39;<=50K;0;0;0;0;1;0;0
159;35;42;>50K;0;0;1;0;0;0;0
160;40;25;<=50K;0;0;0;0;1;0;0
161;40;31;<=50K;0;0;0;0;1;0;0
162;20;68;<=50K;0;0;0;0;0;0;1
163;40;25;<=50K;0;0;0;0;1;0;0
164;24;61;<=50K;1;0;0;0;0;0;0
165;40;21;<=50K;0;0;1;0;0;0;0
166;60;48;>50K;0;0;0;0;1;0;0
167;40;26;<=50K;0;0;0;0;1;0;0
168;32;38;<=50K;0;0;0;0;0;1;0
169;40;24;<=50K;0;0;0;0;1;0;0
170;50;40;<=50K;0;0;1;0;0;0;0
171;35;18;<=50K;0;0;0;0;1;0;0
172;40;35;>50K;0;0;1;0;0;0;0
173;40;35;<=50K;0;0;1;0;0;0;0
174;30;53;<=50K;0;0;0;0;0;1;0
175;43;59;>50K;0;0;1;0;0;0;0
176;60;41;<=50K;0;0;1;0;0;0;0
177;20;19;<=50K;0;0;0;0;1;0;0
178;24;19;<=50K;0;0;0;0;1;0;0
179;40;35;<=50K;0;0;1;0;0;0;0
180;50;42;>50K;0;0;0;0;0;1;0
181;40;52;>50K;0;0;1;0;0;0;0
182;43;50;>50K;0;0;1;0;0;0;0
183;40;49;>50K;0;0;1;0;0;0;0
184;25;28;<=50K;0;0;0;0;1;0;0
185;40;44;>50K;0;0;1;0;0;0;0
186;50;44;>50K;0;0;1;0;0;0;0
187;40;37;<=50K;0;0;1;0;0;0;0
188;3;66;<=50K;0;0;0;0;0;0;1
189;40;50;<=50K;1;0;0;0;0;0;0
190;40;39;<=50K;0;0;0;0;0;1;0
191;50;24;<=50K;0;0;0;0;1;0;0
192;40;72;<=50K;0;0;1;0;0;0;0
193;40;53;>50K;0;0;1;0;0;0;0
194;35;33;<=50K;0;0;0;0;0;1;0
195;20;28;<=50K;1;0;0;0;0;0;0
196;38;62;<=50K;0;0;0;0;0;0;1
197;40;52;<=50K;1;0;0;0;0;0;0
198;40;31;<=50K;0;0;1;0;0;0;0
199;50;34;>50K;0;0;1;0;0;0;0
200;50;40;<=50K;0;0;0;0;1;0;0
201;40;27;>50K;0;0;1;0;0;0;0
202;65;29;<=50K;0;0;1;0;0;0;0
203;40;33;<=50K;0;0;1;0;0;0;0
204;40;46;<=50K;0;0;1;0;0;0;0
205;60;41;>50K;0;0;1;0;0;0;0
206;30;20;<=50K;0;0;0;0;1;0;0
207;20;19;<=50K;0;0;0;0;1;0;0
208;40;30;<=50K;0;0;1;0;0;0;0
209;4;65;<=50K;0;0;1;0;0;0;0
210;40;51;<=50K;0;0;0;0;1;0;0
211;55;48;>50K;0;0;0;0;1;0;0
212;36;61;<=50K;0;0;1;0;0;0;0
213;40;40;<=50K;0;0;1;0;0;0;0
214;45;31;>50K;0;0;0;0;1;0;0
215;40;38;<=50K;0;0;1;0;0;0;0
216;40;57;<=50K;0;0;1;0;0;0;0
217;40;50;<=50K;0;0;1;0;0;0;0
218;40;62;<=50K;1;0;0;0;0;0;0
219;40;48;>50K;1;0;0;0;0;0;0
220;40;39;<=50K;0;0;0;0;1;0;0
221;40;39;<=50K;1;0;0;0;0;0;0
222;37;59;<=50K;1;0;0;0;0;0;0
223;40;27;<=50K;0;0;1;0;0;0;0
224;55;34;>50K;0;0;1;0;0;0;0
225;38;43;>50K;0;0;1;0;0;0;0
226;40;21;<=50K;0;0;0;1;0;0;0
227;48;64;<=50K;0;0;1;0;0;0;0
228;35;53;<=50K;1;0;0;0;0;0;0
229;40;90;>50K;0;0;1;0;0;0;0
230;45;30;<=50K;0;0;0;0;1;0;0
231;24;23;<=50K;0;0;0;0;1;0;0
232;30;41;<=50K;0;0;0;0;1;0;0
233;15;40;<=50K;0;0;1;0;0;0;0
234;40;19;<=50K;0;0;0;0;1;0;0
235;40;58;>50K;0;0;1;0;0;0;0
236;50;25;>50K;0;0;0;0;1;0;0
237;40;34;<=50K;0;0;0;0;1;0;0
238;40;47;<=50K;0;0;0;0;0;1;0
239;50;24;<=50K;0;0;0;0;1;0;0
240;50;50;>50K;0;0;1;0;0;0;0
241;35;19;<=50K;0;0;0;1;0;0;0
242;12;44;<=50K;1;0;0;0;0;0;0
243;40;47;<=50K;1;0;0;0;0;0;0
244;40;27;<=50K;0;0;0;0;1;0;0
245;32;60;<=50K;0;0;1;0;0;0;0
246;37;54;<=50K;0;0;0;0;0;0;1
247;55;49;>50K;0;0;1;0;0;0;0
248;5;17;<=50K;0;0;0;0;1;0;0
249;56;27;<=50K;0;0;1;0;0;0;0
250;40;36;<=50K;0;0;0;0;1;0;0
251;50;47;>50K;0;0;1;0;0;0;0
252;40;23;<=50K;0;0;0;0;1;0;0
253;30;69;<=50K;0;0;1;0;0;0;0
254;40;33;>50K;0;0;0;0;1;0;0
255;34;53;<=50K;0;0;1;0;0;0;0
256;40;55;<=50K;0;0;1;0;0;0;0
257;40;66;>50K;0;0;1;0;0;0;0
258;50;32;<=50K;0;0;1;0;0;0;0
259;25;18;<=50K;0;0;0;0;1;0;0
260;28;53;<=50K;0;0;0;0;0;0;1
261;55;40;<=50K;0;0;0;0;0;1;0
262;40;29;<=50K;0;0;0;0;1;0;0
263;38;51;<=50K;0;0;0;0;1;0;0
264;40;35;<=50K;0;0;0;0;0;1;0
265;40;40;<=50K;1;0;0;0;0;0;0
266;40;18;<=50K;0;0;0;0;1;0;0
267;50;32;<=50K;0;0;0;0;1;0;0
268;14;59;>50K;0;0;1;0;0;0;0
269;40;29;<=50K;0;0;0;0;1;0;0
270;40;58;<=50K;0;0;1;0;0;0;0
271;40;17;<=50K;0;0;0;1;0;0;0
272;43;28;<=50K;0;0;1;0;0;0;0
273;40;33;>50K;0;0;1;0;0;0;0
274;55;47;>50K;0;0;1;0;0;0;0
275;50;24;<=50K;0;0;0;0;1;0;0
276;60;40;>50K;0;0;1;0;0;0;0
277;40;44;<=50K;1;0;0;0;0;0;0
278;42;62;<=50K;0;0;1;0;0;0;0
279;38;40;<=50K;1;0;0;0;0;0;0
280;37;51;>50K;0;0;1;0;0;0;0
281;7;79;<=50K;0;0;1;0;0;0;0
282;50;44;>50K;0;0;1;0;0;0;0
283;40;33;<=50K;0;0;0;0;1;0;0
284;43;58;>50K;0;0;0;0;1;0;0
285;40;62;<=50K;0;0;1;0;0;0;0
286;30;36;<=50K;1;0;0;0;0;0;0
287;50;46;>50K;0;0;1;0;0;0;0
288;64;24;<=50K;0;0;0;0;1;0;0
289;20;22;<=50K;0;0;1;0;0;0;0
290;35;30;<=50K;0;0;0;1;0;0;0
291;26;33;<=50K;0;0;0;0;1;0;0
292;50;39;<=50K;0;0;1;0;0;0;0
293;40;39;>50K;0;0;1;0;0;0;0
294;50;46;>50K;0;0;1;0;0;0;0
295;52;53;>50K;0;0;1;0;0;0;0
296;40;32;<=50K;0;0;0;0;0;1;0
297;40;33;<=50K;0;0;0;0;1;0;0
298;40;40;<=50K;0;0;0;0;1;0;0
299;8;17;<=50K;0;0;0;0;1;0;0
300;40;34;<=50K;0;0;1;0;0;0;0
301;40;22;<=50K;0;0;0;0;1;0;0
302;40;23;<=50K;0;0;0;0;1;0;0
303;40;50;>50K;0;0;1;0;0;0;0
304;40;45;<=50K;1;0;0;0;0;0;0
305;40;33;<=50K;0;0;0;0;1;0;0
306;40;52;<=50K;0;0;0;0;1;0;0
307;40;23;<=50K;0;0;0;0;1;0;0
308;50;56;>50K;0;0;1;0;0;0;0
309;55;29;<=50K;0;0;0;0;1;0;0
310;25;47;<=50K;1;0;0;0;0;0;0
311;50;44;>50K;0;0;1;0;0;0;0
312;30;38;<=50K;0;0;0;0;1;0;0
313;40;34;<=50K;0;0;1;0;0;0;0
314;25;18;<=50K;0;0;0;0;1;0;0
315;40;56;>50K;0;0;1;0;0;0;0
316;12;23;<=50K;0;0;0;0;1;0;0
317;23;18;<=50K;0;0;0;0;1;0;0
318;50;37;<=50K;1;0;0;0;0;0;0
319;40;50;<=50K;0;0;1;0;0;0;0
320;50;40;<=50K;0;0;1;0;0;0;0
321;40;33;<=50K;0;0;1;0;0;0;0
322;40;53;<=50K;0;0;1;0;0;0;0
323;40;35;<=50K;0;0;1;0;0;0;0
324;40;54;<=50K;0;0;1;0;0;0;0
325;45;45;<=50K;0;0;1;0;0;0;0
326;35;44;<=50K;1;0;0;0;0;0;0
327;20;22;<=50K;0;0;0;0;1;0;0
328;20;50;<=50K;0;0;1;0;0;0;0
329;40;40;>50K;0;0;1;0;0;0;0
330;45;30;<=50K;0;0;0;0;1;0;0
331;40;37;>50K;0;0;1;0;0;0;0
332;15;33;<=50K;0;0;1;0;0;0;0
333;40;38;<=50K;0;0;1;0;0;0;0
334;8;23;<=50K;0;0;0;0;1;0;0
335;30;22;<=50K;0;0;0;0;1;0;0
336;40;30;<=50K;1;0;0;0;0;0;0
337;60;26;<=50K;0;0;0;0;1;0;0
338;40;54;>50K;1;0;0;0;0;0;0
339;40;38;<=50K;0;0;1;0;0;0;0
340;45;30;<=50K;0;0;1;0;0;0;0
341;40;44;<=50K;1;0;0;0;0;0;0
342;15;17;<=50K;0;0;0;0;1;0;0
343;40;36;<=50K;1;0;0;0;0;0;0
344;12;74;<=50K;0;0;1;0;0;0;0
345;10;81;<=50K;0;0;1;0;0;0;0
346;48;24;<=50K;0;0;1;0;0;0;0
347;38;34;<=50K;0;0;1;0;0;0;0
348;40;39;<=50K;0;0;1;0;0;0;0
349;55;45;<=50K;0;0;1;0;0;0;0
350;50;64;>50K;0;0;1;0;0;0;0
351;30;30;<=50K;1;0;0;0;0;0;0
352;52;39;<=50K;0;0;1;0;0;0;0
353;40;25;<=50K;0;0;0;0;1;0;0
354;60;39;<=50K;0;0;1;0;0;0;0
355;50;36;>50K;0;0;1;0;0;0;0
356;40;34;<=50K;1;0;0;0;0;0;0
357;70;64;<=50K;0;0;1;0;0;0;0
358;40;26;>50K;0;0;1;0;0;0;0
359;50;25;<=50K;0;0;0;0;1;0;0
360;15;20;<=50K;0;0;0;0;1;0;0
361;40;34;>50K;0;1;0;0;0;0;0
362;30;18;<=50K;0;0;0;0;1;0;0
363;55;49;<=50K;1;0;0;0;0;0;0
364;40;32;<=50K;1;0;0;0;0;0;0
365;25;73;<=50K;0;0;1;0;0;0;0
366;30;20;<=50K;0;0;0;0;1;0;0
367;40;35;<=50K;0;0;1;0;0;0;0
368;60;55;<=50K;0;0;1;0;0;0;0
369;40;49;<=50K;1;0;0;0;0;0;0
370;40;48;>50K;0;0;1;0;0;0;0
371;40;53;<=50K;1;0;0;0;0;0;0
372;36;57;<=50K;0;0;1;0;0;0;0
373;20;17;<=50K;0;0;0;0;1;0;0
374;40;37;<=50K;1;0;0;0;0;0;0
375;35;33;<=50K;1;0;0;0;0;0;0
376;35;67;<=50K;0;0;0;0;1;0;0
377;43;41;<=50K;0;0;1;0;0;0;0
378;45;37;<=50K;0;0;1;0;0;0;0
379;20;33;<=50K;0;0;1;0;0;0;0
380;40;39;<=50K;1;0;0;0;0;0;0
381;10;21;<=50K;0;0;0;0;1;0;0
382;40;35;<=50K;0;0;1;0;0;0;0
383;40;20;<=50K;0;0;0;0;1;0;0
384;40;34;<=50K;0;0;0;0;0;1;0
385;32;44;<=50K;0;0;0;0;1;0;0
386;40;60;<=50K;0;0;0;0;0;0;1
387;40;30;<=50K;0;0;0;0;1;0;0
388;48;58;<=50K;0;0;0;0;1;0;0
389;50;52;<=50K;0;0;1;0;0;0;0
390;40;30;<=50K;0;0;0;0;1;0;0
391;40;39;<=50K;1;0;0;0;0;0;0
392;20;22;<=50K;0;0;0;0;1;0;0
393;60;55;<=50K;0;0;1;0;0;0;0
394;2;68;<=50K;0;0;0;0;0;0;1
395;38;25;<=50K;0;0;1;0;0;0;0
396;40;28;<=50K;0;0;0;0;1;0;0
397;40;34;<=50K;0;0;0;0;1;0;0
398;56;39;<=50K;0;0;0;0;1;0;0
399;50;28;<=50K;0;0;0;0;1;0;0
400;20;19;<=50K;0;0;0;1;0;0;0
401;40;57;>50K;0;0;1;0;0;0;0
402;45;46;>50K;0;0;1;0;0;0;0
403;50;24;>50K;0;0;0;0;1;0;0
404;20;19;<=50K;1;0;0;0;0;0;0
405;60;41;>50K;0;0;1;0;0;0;0
406;32;32;<=50K;0;0;1;0;0;0;0
407;40;27;<=50K;0;0;0;0;1;0;0
408;20;21;<=50K;0;0;0;0;1;0;0
409;40;21;<=50K;0;0;0;0;1;0;0
410;50;51;>50K;0;0;1;0;0;0;0
411;40;39;<=50K;1;0;0;0;0;0;0
412;40;42;<=50K;0;0;1;0;0;0;0
413;50;41;>50K;0;0;0;0;1;0;0
414;35;23;<=50K;1;0;0;0;0;0;0
415;48;23;<=50K;0;0;0;0;1;0;0
416;40;34;<=50K;0;0;0;0;1;0;0
417;40;26;<=50K;0;0;0;0;1;0;0
418;40;41;<=50K;0;0;1;0;0;0;0
419;50;39;>50K;0;0;1;0;0;0;0
420;40;23;<=50K;0;0;0;0;1;0;0
421;20;18;<=50K;0;0;0;0;1;0;0
422;40;39;<=50K;0;0;1;0;0;0;0
423;14;18;<=50K;0;0;0;0;1;0;0
424;40;53;<=50K;0;0;1;0;0;0;0
425;40;50;>50K;0;0;1;0;0;0;0
426;18;29;<=50K;0;0;1;0;0;0;0
427;20;73;<=50K;0;0;0;0;0;0;1
428;50;59;<=50K;0;0;1;0;0;0;0
429;50;29;<=50K;0;0;0;0;1;0;0
430;40;41;<=50K;0;0;0;0;1;0;0
431;40;24;<=50K;0;0;1;0;0;0;0
432;35;68;<=50K;0;0;0;0;0;0;1
433;40;33;<=50K;0;0;0;0;1;0;0
434;40;28;<=50K;0;0;0;0;1;0;0
435;50;49;<=50K;0;0;0;0;0;1;0
436;40;43;>50K;0;0;1;0;0;0;0
437;40;33;<=50K;0;0;0;0;1;0;0
438;99;55;>50K;0;0;1;0;0;0;0
439;40;34;>50K;0;0;1;0;0;0;0
440;75;71;<=50K;0;0;0;0;1;0;0
441;16;21;<=50K;0;0;0;0;1;0;0
442;50;24;<=50K;0;0;1;0;0;0;0
443;60;47;>50K;0;0;1;0;0;0;0
444;40;49;<=50K;0;0;0;0;0;1;0
445;40;29;<=50K;0;0;1;0;0;0;0
446;35;64;>50K;0;0;1;0;0;0;0
447;15;65;<=50K;0;0;0;0;0;0;1
448;60;45;<=50K;0;0;1;0;0;0;0
449;35;24;<=50K;0;0;0;0;1;0;0
450;40;76;<=50K;0;0;1;0;0;0;0
451;50;34;>50K;1;0;0;0;0;0;0
452;40;30;<=50K;0;0;1;0;0;0;0
453;72;37;<=50K;0;0;1;0;0;0;0
454;40;30;<=50K;0;0;0;0;1;0;0
455;40;63;>50K;1;0;0;0;0;0;0
456;40;29;<=50K;0;0;1;0;0;0;0
457;30;24;<=50K;0;0;0;0;1;0;0
458;40;52;>50K;0;0;1;0;0;0;0
459;55;33;<=50K;0;0;0;0;1;0;0
460;30;25;<=50K;0;0;0;0;1;0;0
461;40;60;<=50K;0;0;1;0;0;0;0
462;40;29;<=50K;0;0;0;0;1;0;0
463;65;22;<=50K;0;0;0;0;1;0;0
464;60;41;>50K;0;0;1;0;0;0;0
465;65;26;<=50K;0;0;0;0;1;0;0
466;48;50;>50K;0;0;0;0;1;0;0
467;20;20;<=50K;0;0;0;0;1;0;0
468;40;45;<=50K;0;0;0;0;1;0;0
469;55;28;<=50K;0;0;1;0;0;0;0
470;45;29;<=50K;0;0;1;0;0;0;0
471;40;49;<=50K;0;0;1;0;0;0;0
472;40;45;<=50K;0;0;1;0;0;0;0
473;40;38;>50K;0;0;1;0;0;0;0
474;40;49;>50K;0;0;1;0;0;0;0
475;50;27;>50K;0;0;1;0;0;0;0
476;40;58;<=50K;0;0;1;0;0;0;0
477;40;39;<=50K;1;0;0;0;0;0;0
478;40;58;<=50K;0;0;1;0;0;0;0
479;40;28;<=50K;0;0;0;0;1;0;0
480;7;28;<=50K;0;0;1;0;0;0;0
481;10;27;<=50K;0;0;0;0;1;0;0
482;40;40;<=50K;0;0;0;0;1;0;0
483;40;43;<=50K;0;0;1;0;0;0;0
484;40;27;<=50K;0;0;0;0;1;0;0
485;21;61;<=50K;0;0;0;0;0;0;1
486;40;32;<=50K;0;0;1;0;0;0;0
487;40;50;<=50K;1;0;0;0;0;0;0
488;50;45;<=50K;0;0;1;0;0;0;0
489;70;40;>50K;0;0;1;0;0;0;0
490;25;42;<=50K;0;0;0;0;1;0;0
491;50;59;>50K;0;0;1;0;0;0;0
492;60;33;>50K;0;0;1;0;0;0;0
493;40;32;<=50K;0;0;1;0;0;0;0
494;28;39;<=50K;0;0;1;0;0;0;0
495;72;58;>50K;0;0;1;0;0;0;0
496;16;22;<=50K;0;0;0;0;1;0;0
497;45;41;>50K;0;0;1;0;0;0;0
498;40;25;<=50K;1;0;0;0;0;0;0
499;60;63;>50K;0;0;1;0;0;0;0
500;50;66;>50K;0;0;1;0;0;0;0
501;40;38;<=50K;1;0;0;0;0;0;0
502;16;20;<=50K;0;0;0;0;1;0;0
503;40;39;<=50K;0;0;0;0;0;1;0
504;42;29;<=50K;0;0;1;0;0;0;0
505;30;18;<=50K;0;0;0;0;1;0;0
506;96;41;<=50K;0;0;1;0;0;0;0
507;30;53;<=50K;0;0;0;0;0;0;1
508;40;31;<=50K;0;0;1;0;0;0;0
509;40;36;<=50K;1;0;0;0;0;0;0
510;40;33;>50K;0;0;1;0;0;0;0
511;40;64;<=50K;0;0;1;0;0;0;0
512;38;43;<=50K;1;0;0;0;0;0;0
513;30;18;<=50K;0;0;0;0;1;0;0
514;40;38;>50K;0;0;1;0;0;0;0
515;40;23;<=50K;0;0;0;0;1;0;0
516;25;72;<=50K;0;0;0;0;0;0;1
517;48;33;>50K;1;0;0;0;0;0;0
518;40;35;>50K;0;0;1;0;0;0;0
519;50;46;<=50K;1;0;0;0;0;0;0
520;40;47;<=50K;0;0;1;0;0;0;0
521;50;36;>50K;0;0;1;0;0;0;0
522;40;33;<=50K;0;0;0;0;1;0;0
523;40;58;>50K;0;0;1;0;0;0;0
524;50;39;>50K;0;0;1;0;0;0;0
525;50;36;>50K;0;0;1;0;0;0;0
526;56;29;<=50K;0;0;0;0;1;0;0
527;50;32;>50K;0;0;0;0;1;0;0
528;45;48;>50K;0;0;1;0;0;0;0
529;15;17;<=50K;0;0;0;0;1;0;0
530;50;30;<=50K;0;0;1;0;0;0;0
531;40;26;<=50K;0;0;1;0;0;0;0
532;40;50;>50K;0;0;1;0;0;0;0
533;60;27;<=50K;0;0;0;0;1;0;0
534;50;30;>50K;0;0;0;0;1;0;0
535;30;76;<=50K;0;0;1;0;0;0;0
536;55;34;>50K;0;0;1;0;0;0;0
537;40;60;>50K;0;0;1;0;0;0;0
538;25;22;<=50K;0;0;0;0;1;0;0
539;50;53;>50K;0;0;1;0;0;0;0
540;64;65;<=50K;1;0;0;0;0;0;0
541;50;42;<=50K;1;0;0;0;0;0;0
542;40;22;<=50K;0;0;0;0;1;0;0
543;45;72;<=50K;0;0;1;0;0;0;0
544;40;33;<=50K;1;0;0;0;0;0;0
545;40;36;>50K;0;0;1;0;0;0;0
546;40;51;<=50K;0;0;1;0;0;0;0
547;50;48;<=50K;0;0;0;0;1;0;0
548;40;49;<=50K;0;0;1;0;0;0;0
549;40;41;>50K;0;0;1;0;0;0;0
550;50;34;<=50K;0;0;1;0;0;0;0
551;55;38;<=50K;1;0;0;0;0;0;0
552;45;55;<=50K;1;0;0;0;0;0;0
553;35;61;<=50K;1;0;0;0;0;0;0
554;40;47;<=50K;0;0;1;0;0;0;0
555;40;45;<=50K;1;0;0;0;0;0;0
556;40;43;>50K;0;0;1;0;0;0;0
557;22;23;<=50K;0;0;0;0;1;0;0
