edad;sexo;alfabeto;sistema_salud;nivel_educativo;ocupacion_jerarquia;estado_civil;ingreso
39;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;1;6000
48;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;16000
19;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;1200
57;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;1;6000
27;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;2000
45;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;30000
42;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Cuenta propia;3;8500
49;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;8000
22;hombre;Si;No paga ni le descuentan;Secundaria Completa;Director;3;3200
44;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;2;10000
62;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;1;20000
35;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;4;13000
48;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Director;1;27000
26;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;6000
30;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;4;23000
58;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;900
24;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;7000
54;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Secundaria Incompleta;Cuenta propia;1;25000
34;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;10000
36;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;25000
36;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;4000
34;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;4000
45;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;20000
52;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;1;20000
37;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;10000
51;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Director;1;14000
25;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;16000
38;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;40000
53;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;8000
28;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;3500
35;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;14000
44;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;25000
56;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;15000
35;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;18000
30;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;18000
45;hombre;Si;Planes y seguros públicos;Primaria Completa;Cuenta propia;1;8000
40;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;5000
24;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;15000
35;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;1;10000
43;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;10000
26;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;5000
52;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;6000
53;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;12000
33;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;40000
40;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;5000
45;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;6000
47;mujer;Si;Planes y seguros públicos;Superior Universitaria Incompleta;Cuenta propia;2;13000
44;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;12000
46;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;2000
40;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;10000
48;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;7000
51;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;8000
18;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Director;3;2500
34;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;2800
44;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;8000
48;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;8000
66;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Completa;Cuenta propia;2;15000
33;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Cuenta propia;1;20000
54;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Director;1;20000
62;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Director;2;18000
42;hombre;Si;Ns./Nr.;Secundaria Incompleta;Cuenta propia;3;20000
55;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Director;4;5000
55;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;4000
48;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;25000
47;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;50000
29;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;5000
51;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;10000
46;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;15000
34;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Trabajador asalariado;3;8000
68;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Incompleta;Cuenta propia;4;8000
30;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;100
28;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;18000
39;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;15000
31;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;15000
41;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Director;4;25000
30;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;7000
27;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;8000
66;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;25000
22;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;8000
54;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;7000
61;mujer;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;1;5000
41;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;25000
29;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Completa;Cuenta propia;3;20000
35;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;16000
44;mujer;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;60000
46;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;12000
33;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;1000
44;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;4;12000
58;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Director;1;20000
47;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;10000
39;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;4;20000
26;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;5000
47;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;18000
50;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;18000
48;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;15000
43;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;4;5000
33;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;2000
22;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;6000
67;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Incompleta;Cuenta propia;1;35000
50;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;9000
36;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;18000
39;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;12000
48;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;4500
59;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;15000
60;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;2;12000
34;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;11000
28;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;4320
37;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;5000
39;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;2500
38;mujer;Si;Obra social (incluye PAMI);Primaria Incompleta(incluye educación especial);Cuenta propia;2;1200
32;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;2;2000
39;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;2000
33;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Cuenta propia;3;20000
53;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;10000
60;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;1;10000
47;mujer;Si;No paga ni le descuentan;Secundaria Completa;Director;2;15000
57;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;2;5000
23;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;10000
56;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;9000
28;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Completa;Cuenta propia;3;15000
58;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;10000
41;hombre;Si;No paga ni le descuentan;Superior Universitaria Completa;Director;3;9000
42;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;1;9000
43;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Director;4;13000
27;mujer;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;5000
32;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;16000
56;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;5000
36;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;1500
38;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;15000
49;mujer;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;4;4000
32;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;4;5000
35;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;12000
42;hombre;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;1;10000
53;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;1;20000
54;mujer;Si;Obra social y mutual/prepaga/servicio de emergencia.;Superior Universitaria Completa;Cuenta propia;2;4000
54;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;2;8000
63;hombre;Si;Obra social (incluye PAMI);Secundaria Incompleta;Cuenta propia;2;30000
57;hombre;Si;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;5;14000
44;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Incompleta;Director;4;14000
34;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;2500
47;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;2;10000
21;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;5000
60;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;25000
39;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;15000
37;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Director;1;10000
61;hombre;Si;Obra social y mutual/prepaga/servicio de emergencia.;Primaria Incompleta(incluye educación especial);Cuenta propia;1;2700
21;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;3000
26;mujer;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;3;500
49;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;2;15000
57;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Secundaria Completa;Director;2;9000
25;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;15000
27;hombre;No;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;3;3600
58;hombre;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;3;15000
51;mujer;Si;Mutual / Prepaga / Servicio de emergencia;Superior Universitaria Completa;Director;2;60000
59;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;2000
31;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;4;20000
32;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;4;28000
50;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;10000
64;mujer;Si;Obra social (incluye PAMI);Primaria Completa;Cuenta propia;5;5000
43;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;1;2500
22;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;3000
64;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;50000
52;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;1;15000
48;mujer;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;9000
36;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Director;1;15000
55;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;4;16000
52;hombre;Si;Obra social (incluye PAMI);Secundaria Completa;Cuenta propia;1;15000
23;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;4000
33;hombre;Si;No paga ni le descuentan;Secundaria Completa;Cuenta propia;3;15000
23;hombre;Si;No paga ni le descuentan;Superior Universitaria Incompleta;Cuenta propia;3;3000
43;hombre;Si;Mutual / Prepaga / Servicio de emergencia;Primaria Incompleta(incluye educación especial);Cuenta propia;1;18000
42;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Director;3;30000
34;mujer;Si;No paga ni le descuentan;Superior Universitaria Completa;Cuenta propia;4;4000
39;mujer;Si;No paga ni le descuentan;Secundaria Incompleta;Cuenta propia;4;10000
44;hombre;No;No paga ni le descuentan;Primaria Incompleta(incluye educación especial);Cuenta propia;4;12800
53;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Director;1;45000
56;mujer;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;3;5000
48;hombre;Si;No paga ni le descuentan;Primaria Completa;Director;1;10000
25;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Incompleta;Cuenta propia;3;1000
51;hombre;Si;No paga ni le descuentan;Primaria Completa;Cuenta propia;2;9000
43;hombre;Si;Obra social (incluye PAMI);Superior Universitaria Completa;Cuenta propia;2;10000
